WIND,RAIN,IND.2,T.MIN.G,IND.1,T.MAX,T.MIN,IND
4.15,1.5,0,-1.4,0,2.1,14.4,0
8.87,2.5,0,-5.3,0,21.9,7.2,4
4.84,2.4,0,11.0,0,11.4,-4.5,0
10.4,11.4,0,0.8,0,16.4,-6.2,0
6.87,36.0,0,-8.2,0,14.4,4.6,0
1.63,14.2,0,2.7,0,24.0,15.1,0
5.34,11.2,0,2.5,0,24.6,3.0,0
5.83,16.8,4,-1.5,0,9.3,13.6,0
7.51,7.4,0,4.3,2,5.1,9.6,4
3.72,9.4,4,8.4,0,2.4,8.9,0
2.52,6.1,1,-4.4,0,12.4,5.8,0
5.65,30.0,0,2.9,0,1.2,16.0,0
5.17,0.0,4,-5.9,0,21.7,15.2,0
4.29,0.0,0,4.2,0,19.6,-2.1,0
5.04,10.0,1,6.3,0,18.6,2.8,0
7.01,10.3,1,1.7,0,15.1,-2.4,0
6.38,11.2,1,-11.1,0,20.7,1.8,0
4.22,4.5,2,1.2,0,15.9,-2.2,4
2.23,0.0,0,7.6,0,7.8,1.5,0
4.62,0.0,0,12.8,0,15.3,13.2,0
5.85,0.5,0,3.4,0,21.2,3.9,0
3.22,36.0,0,-10.2,4,5.2,0.6,0
12.24,5.8,0,13.2,0,15.9,16.8,0
4.27,0.3,0,-9.8,0,24.0,8.5,0
6.23,1.0,0,3.1,0,19.3,-6.6,0
5.7,1.4,0,7.3,0,2.1,-2.3,0
3.99,10.4,0,4.0,0,24.6,10.0,0
5.9,9.1,0,1.8,1,16.7,3.9,0
2.49,18.8,0,14.7,0,6.1,5.6,0
2.81,10.1,0,0.0,0,11.5,3.1,0
3.57,0.0,0,15.4,0,14.9,-1.2,0
8.69,4.8,0,-4.0,0,18.2,9.3,0
5.71,18.7,0,9.9,0,1.5,8.6,0
6.4,0.0,0,15.1,0,7.3,13.2,0
8.41,17.0,0,5.0,0,9.4,16.1,4
4.91,38.0,0,-10.5,4,18.2,13.3,0
11.91,8.5,0,13.8,0,22.6,15.4,0
6.01,0.0,0,-2.7,4,4.1,3.7,0
3.2,0.4,0,7.4,0,8.2,11.2,0
6.31,10.3,0,7.7,0,8.6,-3.0,0
3.0,13.9,0,-5.9,0,9.8,3.3,0
8.72,17.5,0,-1.2,0,10.3,8.1,0
4.46,2.5,0,4.2,1,3.1,14.2,0
6.4,21.0,0,4.0,0,5.4,15.4,0
4.51,0.3,0,-8.5,0,13.8,1.1,0
2.68,18.9,0,9.0,4,18.3,6.7,4
6.0,12.1,0,12.1,0,17.0,11.6,0
11.95,16.1,0,12.9,0,6.2,7.0,0
7.64,20.3,4,2.2,0,12.0,10.0,0
3.91,4.0,0,-9.1,4,21.3,2.2,0
2.42,1.0,4,14.8,0,10.3,-3.8,0
5.12,1.8,0,14.7,0,22.5,5.4,4
4.58,16.4,0,-2.1,0,23.5,-5.0,1
4.87,0.0,0,-6.3,0,3.2,6.9,0
3.85,15.4,0,1.0,0,21.9,13.5,0
15.57,5.2,0,0.7,0,1.5,6.0,0
6.04,1.7,0,-1.6,0,20.1,2.8,0
6.38,15.8,0,-6.9,0,6.2,7.4,0
5.2,0.0,0,6.4,0,21.9,-4.5,0
4.63,15.5,0,-3.3,0,17.1,16.3,0
6.52,28.0,0,-10.0,0,4.5,-6.1,4
5.04,16.5,0,5.3,0,9.0,7.1,0
4.92,0.0,0,-8.9,4,14.5,15.9,0
6.0,8.5,0,4.4,0,5.9,10.1,0
2.68,5.7,0,-3.4,0,23.2,15.8,0
2.57,29.3,0,0.3,0,4.4,4.3,0
5.59,2.1,0,-5.1,0,4.2,6.2,0
3.01,40.7,4,-1.5,0,18.0,8.0,0
5.58,7.0,0,2.6,0,13.9,-3.5,0
4.77,8.5,0,-4.8,0,18.7,0.6,4
5.53,24.7,0,-8.9,0,18.3,11.9,0
9.52,0.8,1,-8.2,0,8.5,13.0,0
14.32,3.9,0,1.1,0,13.3,16.3,0
5.37,1.6,4,3.4,0,15.6,2.3,0
5.74,6.2,0,5.9,0,19.6,5.0,4
9.42,19.0,0,-3.4,0,23.5,16.9,0
3.89,0.0,0,-3.8,0,7.8,13.9,0
9.01,7.2,0,-3.0,0,2.1,17.4,0
1.57,0.0,0,1.7,0,20.5,15.3,0
1.16,12.3,0,10.9,0,18.0,0.4,0
2.65,6.9,0,11.6,0,8.3,9.6,0
6.97,22.7,0,6.6,0,24.0,5.5,0
5.51,17.2,4,2.0,0,13.9,-5.8,1
3.97,5.8,2,15.4,0,16.3,15.0,0
5.05,0.0,4,12.0,4,6.8,7.2,0
4.37,3.8,1,-8.2,0,24.4,-0.9,0
4.52,24.5,0,-3.3,0,7.5,6.1,0
4.0,13.9,0,-12.1,0,18.6,2.2,0
7.3,9.5,0,0.4,0,19.2,4.0,0
4.06,20.5,0,-5.6,0,6.0,7.5,0
11.66,17.5,0,11.0,0,25.2,0.6,0
4.85,0.0,0,-1.7,0,7.1,12.3,4
3.07,20.0,0,9.6,0,21.8,4.8,4
4.87,0.0,0,10.8,0,21.8,-1.6,0
7.11,5.1,0,-3.9,0,5.7,-7.8,0
6.12,0.0,0,10.2,2,10.9,15.4,0
11.44,21.5,0,2.1,0,5.6,8.6,0
4.53,2.8,0,-0.3,0,11.0,-2.7,4
3.61,2.2,4,2.2,2,24.2,8.1,0
4.98,0.1,4,8.9,0,2.0,7.0,0
3.12,5.3,0,11.1,0,5.5,5.7,4
7.69,12.8,0,12.0,0,6.2,3.5,0
4.89,4.4,0,-7.2,0,21.1,13.1,1
10.11,12.3,0,0.7,0,7.3,9.2,0
8.19,4.4,0,-2.3,0,15.9,7.2,4
1.35,52.2,0,3.7,0,6.0,-5.8,0
2.39,24.3,0,13.6,0,21.4,7.8,0
1.47,16.5,0,4.5,0,20.7,8.2,0
5.59,7.3,0,-8.4,0,13.6,10.3,0
3.8,13.6,0,3.5,0,8.7,5.8,0
3.02,2.9,0,15.7,0,19.2,9.1,0
1.78,2.6,0,8.6,0,23.7,7.6,0
5.15,5.6,0,-4.5,0,17.7,4.0,0
7.19,0.0,0,0.7,0,15.6,7.0,4
5.99,7.7,0,11.4,0,4.4,0.2,0
3.07,21.8,0,12.9,0,19.6,13.3,4
2.6,1.3,0,9.1,0,7.9,5.4,4
5.59,3.0,0,2.9,0,14.6,9.7,4
4.51,0.8,0,-9.6,0,10.6,7.8,0
5.83,0.0,4,5.5,0,19.1,2.3,0
5.13,5.0,0,14.0,0,22.6,5.2,0
14.92,16.2,0,-2.6,0,11.0,1.5,0
10.02,19.7,0,1.0,0,17.8,-3.7,0
3.92,11.7,0,-2.2,0,23.1,-3.6,0
2.69,0.0,0,-6.1,0,10.2,2.7,0
6.22,0.0,0,-0.5,0,6.5,9.1,0
7.26,0.3,0,-4.4,0,8.8,10.7,0
8.13,0.2,2,3.8,1,24.5,-1.4,0
5.64,23.6,0,3.2,0,19.7,9.6,0
4.38,0.0,0,-7.5,0,25.3,-4.3,0
7.72,3.0,0,-9.7,0,8.5,6.0,0
5.04,17.8,0,4.8,0,22.8,9.2,0
4.41,12.2,0,-8.0,0,17.8,-5.1,4
3.1,1.1,0,-4.4,0,21.5,2.8,0
6.31,2.1,4,3.5,0,22.6,-5.4,0
7.09,3.3,0,-3.3,0,5.2,17.4,0
3.91,0.0,0,-5.0,0,25.8,0.8,0
3.52,16.5,0,-12.3,0,9.3,-0.9,0
2.53,21.8,0,-0.9,0,13.3,7.2,0
7.75,12.3,0,15.8,0,13.7,12.3,0
1.04,0.0,0,1.0,0,0.0,-2.1,0
11.38,11.5,0,0.4,0,13.2,6.0,0
3.56,0.6,0,12.6,0,18.0,10.7,0
1.79,0.0,0,1.5,0,17.2,3.0,0
5.81,30.0,0,-10.5,0,12.3,0.6,0
7.58,10.5,0,8.3,0,4.3,0.3,0
4.71,13.7,0,2.5,0,1.9,-1.9,0
6.75,0.8,0,4.2,0,25.0,5.0,4
6.27,0.0,0,14.0,0,22.8,0.3,0
6.94,2.3,0,-4.9,0,8.7,-0.9,0
5.25,18.2,0,10.6,0,8.4,11.1,1
7.89,32.4,0,15.0,4,17.3,15.8,0
7.42,0.1,0,6.0,0,8.5,7.7,0
5.45,3.7,1,4.5,0,20.9,4.6,0
4.8,15.7,0,13.8,0,6.5,7.2,0
15.97,1.4,0,7.8,0,15.3,-8.0,0
4.11,22.5,0,1.9,0,13.2,3.9,0
5.38,2.9,0,1.0,0,12.7,-0.4,0
8.01,28.0,0,-10.3,4,5.2,17.9,0
8.74,3.9,0,11.5,0,11.8,0.0,0
6.69,18.2,0,-8.9,0,12.1,0.4,0
6.05,6.8,2,-1.4,0,12.9,9.9,0
2.86,0.0,0,1.4,0,19.5,14.8,4
7.23,0.2,4,1.4,0,2.9,-0.3,0
7.04,2.7,0,1.2,4,18.2,14.4,0
8.11,12.3,0,-11.5,0,6.3,7.6,0
5.25,10.8,1,9.1,0,9.4,-2.6,0
3.99,1.2,0,6.4,0,10.4,2.4,4
10.05,32.4,0,4.9,0,7.8,-6.2,0
2.87,44.4,0,-3.3,0,15.6,13.0,0
4.49,7.8,0,-0.5,0,3.0,1.2,0
6.04,18.1,1,11.3,0,22.6,16.3,0
3.39,0.0,0,-1.8,0,17.4,15.4,0
5.71,2.1,0,1.1,0,10.3,16.8,0
11.79,8.5,0,4.0,4,11.8,11.6,0
0.64,12.9,0,-0.4,0,16.2,-4.5,4
4.25,10.9,4,11.2,0,7.0,3.3,0
6.45,1.7,0,12.3,0,3.6,-4.5,0
8.08,10.8,0,6.8,0,6.7,6.9,1
2.5,20.3,0,6.9,0,14.2,13.6,4
6.08,11.5,0,14.0,0,15.9,12.3,0
13.63,0.4,0,1.0,0,22.8,7.8,0
5.26,8.7,0,7.0,0,22.2,1.0,4
5.08,4.2,4,-1.2,4,1.7,4.0,0
3.7,38.0,0,-2.2,0,2.3,13.1,0
8.92,18.2,0,4.1,0,10.8,3.3,0
3.19,0.0,0,6.0,0,17.8,16.5,0
6.76,0.0,0,-4.6,0,2.3,-3.7,0
4.44,0.0,0,3.7,0,8.4,17.4,0
3.63,1.5,0,12.0,0,17.7,9.6,0
3.59,1.0,1,-3.8,0,3.6,10.4,0
2.61,24.7,0,9.9,0,21.8,6.4,0
4.74,38.0,0,-8.5,0,8.9,-0.5,0
4.69,0.5,1,8.0,0,3.5,14.1,4
4.11,0.0,0,3.8,0,10.0,12.3,1
6.33,12.9,0,2.3,0,24.6,6.8,0
5.79,0.0,0,5.4,0,17.2,-1.4,0
5.53,3.7,0,-7.6,4,1.6,4.1,0
5.33,0.2,0,2.9,0,13.4,-6.0,4
9.4,10.5,0,-0.5,0,2.0,2.2,0
9.22,5.6,0,10.0,0,12.9,5.6,0
5.71,2.7,0,7.3,0,18.2,-1.8,4
14.07,27.8,0,0.0,0,1.2,-0.8,0
4.4,4.2,0,-0.5,0,7.4,-7.8,0
6.68,0.0,0,0.1,0,14.1,14.0,0
3.94,2.0,0,6.2,0,1.2,5.1,0
2.18,1.4,0,13.9,0,8.6,15.7,0
6.41,21.0,0,6.3,0,18.3,0.6,0
8.46,6.6,1,12.9,0,12.8,8.0,0
6.17,19.7,0,5.3,4,16.6,9.2,0
3.99,10.1,0,14.2,0,20.5,9.0,0
8.64,3.1,0,-9.0,4,3.6,-6.2,0
1.65,0.0,0,-10.0,0,8.5,9.3,0
0.18,0.0,1,-8.2,4,14.0,17.0,0
4.82,18.2,4,-5.2,0,3.4,7.1,0
2.52,21.5,0,2.1,0,22.6,8.4,0
8.11,12.2,0,-1.4,0,4.0,15.9,0
5.5,11.9,4,-1.8,0,20.5,15.5,0
5.08,0.0,4,-5.8,0,13.7,17.8,0
5.5,0.6,0,13.6,0,10.1,-1.4,4
4.0,10.6,0,-4.0,2,12.0,3.5,0
6.67,13.3,4,2.2,0,16.0,9.2,0
3.54,0.0,0,0.2,0,18.8,8.3,0
2.98,5.9,0,5.6,0,9.5,8.0,0
3.37,3.1,0,2.4,2,2.7,10.4,0
4.91,16.7,0,4.4,0,2.3,-5.1,0
1.7,8.2,0,15.4,0,3.0,11.6,0
6.03,23.3,0,-7.1,0,24.4,14.2,0
6.77,25.1,4,-13.2,0,17.3,-4.5,0
7.16,18.7,3,1.5,4,25.0,17.9,0
4.62,20.5,0,8.3,0,21.4,13.0,0
6.81,0.0,0,11.1,0,5.0,16.1,0
2.92,16.8,1,1.1,0,23.3,10.5,0
10.21,6.3,4,-6.1,0,23.7,14.0,0
12.84,9.3,0,-5.1,0,14.6,7.7,0
6.27,12.1,0,4.8,0,16.7,7.7,0
3.64,21.5,0,-9.4,0,7.2,-4.5,4
2.5,14.2,0,-9.3,0,22.1,-4.8,0
5.75,0.3,0,-8.0,0,17.2,-6.0,0
9.23,2.3,0,1.3,0,7.8,11.8,0
5.88,16.6,0,-11.6,0,19.0,2.9,0
8.74,15.0,0,4.9,0,10.8,3.0,0
7.04,15.5,0,3.0,0,13.3,8.3,0
3.43,25.6,4,-5.6,4,3.8,14.2,4
4.53,14.2,0,12.3,0,2.2,-11.5,0
17.68,0.1,0,5.6,0,12.1,5.0,0
12.47,17.6,0,13.7,0,3.2,0.7,0
6.5,16.6,1,13.0,0,20.7,8.1,0
10.61,0.0,1,12.5,0,6.7,11.6,0
13.13,11.0,0,12.6,0,8.5,3.9,4
10.38,6.1,0,-10.3,0,13.8,-11.0,0
17.35,8.0,0,-0.4,0,11.3,6.5,0
6.29,15.4,0,8.2,0,15.1,-0.1,0
13.29,30.0,0,-10.9,0,1.2,3.4,0
18.35,12.8,4,10.4,2,12.5,5.0,0
13.53,15.9,0,-8.9,4,14.3,-5.4,0
7.19,9.4,0,-7.0,0,4.1,12.1,0
15.22,0.1,0,-9.0,0,5.2,10.7,0
14.64,16.8,0,-6.4,0,7.5,11.6,0
10.51,4.2,0,8.0,0,21.3,1.7,0
7.97,15.3,0,-0.6,0,4.6,-7.4,0
6.2,6.6,0,11.0,0,22.7,6.4,0
7.71,14.1,0,-8.0,0,3.6,17.6,0
15.63,21.4,0,8.0,0,15.8,5.9,0
11.44,5.6,0,-12.3,0,19.3,1.1,0
11.19,0.0,0,-11.0,0,4.2,0.6,0
10.74,14.8,0,6.5,0,23.6,11.0,0
13.79,10.9,1,3.7,0,23.8,-6.6,4
9.74,32.0,0,2.8,0,10.8,17.6,0
14.15,5.3,0,5.0,0,13.6,-1.0,0
12.79,3.6,0,6.2,0,8.5,15.0,0
15.71,0.1,0,-4.8,4,26.0,7.6,0
15.28,8.2,0,-0.6,0,10.2,10.4,0
14.38,2.6,0,-6.5,0,17.7,5.4,0
15.59,10.2,0,-3.3,0,6.0,1.1,0
15.02,8.6,0,7.2,0,12.2,12.0,0
10.43,4.4,0,5.5,0,16.6,-2.7,0
10.65,6.5,0,-4.0,0,11.7,-2.7,0
16.06,5.9,0,9.9,4,10.2,5.5,0
14.31,13.6,1,11.6,0,4.2,9.6,0
15.83,23.6,0,-8.2,0,12.2,-1.4,0
11.66,8.2,0,4.2,0,13.8,2.8,0
18.98,10.6,0,9.0,0,11.4,2.0,0
9.34,0.0,0,-5.8,0,20.6,1.4,0
16.71,0.0,0,-11.2,0,10.1,5.4,0
16.36,17.3,0,12.4,0,21.9,1.5,0
13.05,24.7,0,-1.6,0,10.4,8.0,0
7.16,1.4,1,10.5,0,3.6,12.9,0
10.65,0.0,0,9.3,0,23.4,2.8,0
14.48,14.5,1,-1.1,0,-0.1,0.9,0
13.49,0.0,0,4.3,0,13.3,1.4,4
10.96,27.5,0,-9.6,4,20.1,15.8,0
11.0,0.0,4,-4.3,0,22.3,12.4,0
19.51,13.7,0,-8.8,0,11.5,6.1,0
17.83,2.9,0,4.1,4,18.2,3.0,0
13.43,67.0,0,-1.8,0,8.7,17.4,0
11.64,14.3,1,8.6,0,17.8,14.3,0
12.12,1.4,0,-2.7,0,16.2,-2.5,0
14.67,22.7,0,-10.8,0,17.0,-7.8,0
15.94,17.0,0,5.5,0,3.3,4.7,4
12.17,36.0,0,8.3,0,15.4,17.0,0
11.68,27.4,0,7.6,0,9.6,10.8,4
10.94,12.9,0,8.2,0,15.9,11.4,0
8.98,6.1,0,-0.8,0,3.9,12.6,0
13.02,1.9,0,4.4,0,5.3,3.1,0
6.43,12.1,0,0.2,0,19.5,15.6,0
13.92,11.2,0,9.0,0,17.3,1.0,0
12.68,8.1,0,-1.7,0,15.5,12.1,0
21.48,1.1,4,2.0,0,3.2,9.8,0
7.99,24.7,0,-3.0,4,12.6,4.1,0
15.95,1.6,0,13.4,0,22.0,-8.1,1
16.6,0.9,0,2.2,4,7.0,7.1,0
11.01,14.2,0,-10.8,1,12.6,15.7,0
13.63,11.7,0,3.0,0,15.3,14.5,0
11.99,4.6,0,-10.7,0,11.9,12.1,0
12.83,0.0,1,10.4,0,8.2,7.6,0
13.14,1.2,0,9.1,0,20.4,17.0,0
9.47,0.0,0,1.6,4,13.7,17.6,0
18.9,13.1,0,-0.3,0,1.6,9.0,0
9.68,5.4,0,8.0,0,20.0,10.2,4
12.73,8.3,0,-8.9,0,17.2,10.6,0
9.98,17.6,0,4.5,0,23.1,-2.0,0
7.24,11.1,0,-0.2,0,17.1,11.3,0
16.27,1.0,0,12.2,0,8.1,4.6,0
13.57,0.0,0,13.3,0,4.9,5.5,0
10.29,16.8,0,5.9,0,20.0,-1.9,0
14.88,0.0,0,3.1,4,18.5,11.7,0
11.19,12.0,0,-4.0,0,16.5,16.8,0
18.44,4.7,0,2.6,0,9.5,-3.7,0
6.86,9.7,0,10.4,0,-0.1,-3.2,4
12.37,18.5,0,-9.5,4,19.5,2.2,0
15.85,18.2,0,-6.4,0,10.0,3.1,0
14.08,12.8,0,2.8,0,2.4,3.5,0
11.06,28.0,1,9.9,2,12.9,15.3,0
17.04,1.7,0,-7.1,0,26.8,-4.7,0
8.62,0.0,0,6.3,0,18.2,-5.5,0
11.37,1.1,0,-1.1,4,14.5,4.7,0
6.32,10.2,0,-13.4,0,21.0,6.7,0
14.68,4.0,0,-6.9,4,5.5,-4.3,0
10.91,0.0,0,-5.3,0,18.3,7.4,4
17.57,8.7,0,4.9,0,13.9,8.2,0
13.86,14.3,0,2.5,0,4.8,15.1,4
13.15,10.1,0,14.2,0,16.4,6.0,0
13.25,17.4,0,3.9,0,19.2,10.1,0
10.29,21.5,0,6.9,0,19.5,14.2,0
11.17,5.0,0,12.5,4,10.7,8.9,0
14.59,4.4,0,2.9,0,24.5,16.1,0
12.69,0.5,0,-12.3,0,5.4,10.7,0
9.59,0.0,0,10.4,0,12.2,-3.9,0
8.49,8.0,0,-4.9,0,19.3,-0.2,4
13.09,4.4,0,1.9,0,4.9,-2.7,4
13.79,13.0,0,5.6,0,17.5,1.7,0
15.81,28.2,0,-9.6,4,8.8,8.2,0
13.6,14.9,0,-11.9,0,18.5,2.2,0
14.8,0.0,0,14.3,4,10.6,3.5,0
16.37,2.3,0,4.3,0,13.3,16.0,4
13.19,1.2,0,12.0,0,16.4,12.2,0
18.53,21.8,0,5.6,0,0.8,9.2,0
15.92,0.2,0,-10.0,0,6.6,0.8,0
9.01,6.6,0,-7.5,4,16.8,5.4,0
9.41,9.3,0,13.6,0,13.9,4.7,0
12.24,0.0,0,3.5,0,22.7,7.0,0
18.14,23.6,0,4.2,0,18.4,0.6,0
13.32,13.9,1,3.3,0,19.4,10.2,0
15.37,0.0,0,-1.5,0,9.7,9.7,0
15.58,6.8,0,-3.0,0,20.5,6.7,0
20.81,28.0,0,-7.3,0,15.2,-5.4,0
11.61,16.4,0,5.6,0,18.5,-1.6,0
12.02,25.6,0,5.5,0,6.0,3.5,0
9.91,0.0,0,0.6,0,9.9,-6.7,0
14.65,0.0,0,12.1,0,18.0,2.9,0
6.67,15.0,0,-9.0,0,10.7,10.5,0
15.47,1.0,0,-8.9,0,11.8,14.2,4
9.85,38.0,0,10.9,0,4.7,-4.7,0
7.2,0.0,0,-10.2,0,17.6,17.9,0
13.47,0.5,0,-4.6,0,17.7,-3.5,0
15.55,27.8,0,-6.0,0,16.7,8.0,0
13.11,15.3,4,13.0,0,13.0,6.7,0
6.36,20.3,0,10.4,0,2.6,7.6,0
18.28,4.6,0,5.5,0,25.8,10.4,0
17.07,22.9,0,1.1,4,13.5,3.8,0
15.67,1.2,0,-13.2,0,23.3,-1.7,0
6.14,0.0,0,-12.2,0,20.5,12.3,0
16.48,0.7,0,0.6,0,10.9,9.5,4
15.26,0.3,1,3.5,0,5.0,11.5,0
11.74,0.0,4,9.6,0,24.5,9.8,0
15.0,10.4,0,11.5,0,4.2,12.5,0
12.11,9.2,0,6.1,0,5.2,-6.2,0
15.85,2.7,1,-9.0,0,12.1,15.4,0
7.51,7.4,0,-9.6,0,16.9,12.9,4
12.31,0.0,0,4.5,0,21.2,13.8,0
10.15,2.4,0,-12.9,4,23.6,8.4,4
12.99,20.3,2,-8.1,0,6.6,8.1,0
14.71,12.9,0,0.5,0,14.9,13.9,0
12.48,0.0,0,1.3,0,8.2,13.1,0
12.65,23.1,0,-0.9,0,7.8,9.8,0
12.52,0.8,0,14.6,0,2.4,7.5,4
10.31,4.5,0,-1.8,0,15.4,17.0,0
14.66,10.1,4,15.0,0,7.3,12.5,0
12.15,8.8,0,-9.4,0,5.2,-4.0,4
14.84,3.6,0,0.3,0,10.7,7.1,0
14.23,0.0,4,4.4,4,12.2,-0.6,0
10.33,0.0,0,-7.8,0,12.7,6.1,0
18.27,0.0,4,10.6,0,14.6,1.5,0
8.36,7.9,0,-1.1,0,22.3,5.3,0
16.87,11.4,4,-0.3,0,8.4,-0.6,0
11.31,19.1,4,0.2,0,21.5,16.2,0
16.18,1.5,0,2.4,0,8.7,2.7,0
9.34,18.3,1,-13.5,0,0.8,6.0,0
16.79,36.4,0,9.8,0,12.9,7.0,0
12.36,52.2,0,5.2,0,6.3,5.5,0
16.84,11.8,0,1.8,0,24.4,0.2,0
7.14,24.2,0,10.9,0,15.7,17.8,0
14.74,0.1,0,-5.2,0,9.9,0.9,0
13.6,15.8,0,7.7,0,24.7,6.7,0
14.66,0.3,0,8.5,0,3.6,10.0,0
14.51,0.0,0,14.2,0,10.2,13.2,0
10.21,10.1,0,4.3,0,21.5,9.7,0
12.5,17.2,0,4.3,0,9.1,11.4,0
11.24,0.0,0,11.6,0,12.6,-10.7,0
13.4,2.1,0,14.5,0,9.3,-1.8,0
7.92,21.4,0,-3.0,4,6.9,14.2,0
9.47,17.0,1,5.0,0,6.9,6.4,0
13.88,0.0,0,12.3,0,3.0,-1.6,0
13.41,1.7,0,3.4,0,11.4,10.6,0
11.95,20.4,0,-4.7,0,23.2,0.0,0
13.32,1.0,0,1.5,0,7.2,11.5,0
14.33,13.6,4,12.1,0,13.4,17.0,0
14.32,5.5,0,-1.5,0,4.9,16.7,0
13.44,2.4,0,-4.9,4,18.7,-5.1,0
11.59,11.3,0,1.6,0,21.6,12.3,0
15.66,0.0,0,-2.8,1,11.7,10.1,0
14.27,44.4,0,8.2,0,10.2,2.3,0
12.04,40.7,1,-6.2,0,16.2,-0.1,1
11.44,0.0,0,-13.2,0,3.9,-1.6,0
13.5,18.3,0,3.3,0,11.9,4.3,0
11.7,0.0,0,-3.8,0,7.5,7.3,0
15.77,9.2,0,11.3,0,7.2,0.7,4
14.21,14.9,4,-6.6,0,5.5,10.9,0
17.95,2.1,0,-12.3,0,5.9,6.0,0
9.05,2.9,0,-9.5,0,4.9,-1.0,0
9.22,3.0,1,-6.9,4,18.3,-10.7,0
10.76,0.7,0,-7.9,0,20.4,4.8,0
13.42,2.9,0,-0.9,0,8.4,5.3,4
12.78,0.0,0,6.6,0,16.2,4.4,0
15.28,27.8,0,6.9,0,2.9,7.1,0
11.12,11.3,4,-7.3,0,15.1,4.3,0
11.91,0.4,0,11.1,0,13.3,1.1,0
9.97,14.7,0,-9.0,0,1.1,16.4,0
8.24,28.0,0,11.7,0,11.3,6.1,4
12.99,0.0,0,-6.4,0,12.3,3.0,0
16.39,17.0,0,3.4,0,17.9,7.9,0
11.29,15.3,0,5.6,0,16.3,6.0,0
11.72,0.0,0,8.9,0,21.1,-3.8,0
14.43,4.5,0,6.0,0,5.8,15.4,0
11.12,32.4,4,13.6,0,12.1,-0.4,0
12.33,11.8,0,3.4,0,14.1,-2.5,0
5.84,0.0,0,5.6,0,13.1,6.2,0
17.8,5.4,0,3.9,0,9.6,8.0,0
13.24,1.8,4,12.5,0,4.7,8.9,4
13.77,10.3,0,1.7,0,13.9,11.3,0
9.94,0.3,0,8.0,0,13.5,-1.9,0
16.69,5.3,1,0.3,0,12.0,8.8,4
12.53,17.3,0,5.4,0,14.6,9.6,0
12.6,5.1,0,2.1,0,23.4,4.3,0
12.83,5.3,0,-7.4,0,17.7,7.5,0
10.88,11.6,4,4.8,4,16.9,4.0,4
10.6,4.2,0,14.5,0,16.0,1.7,0
11.52,0.0,0,12.1,0,17.5,8.0,0
11.78,6.1,0,2.5,0,21.0,9.4,0
14.26,15.8,0,9.7,0,16.9,5.5,0
11.89,8.1,0,7.4,0,7.5,3.8,0
18.1,1.9,0,9.2,0,4.8,5.4,0
18.32,5.6,0,0.0,0,18.3,3.5,0
9.45,0.5,1,8.7,0,23.8,2.8,0
14.03,0.5,0,-12.9,0,11.0,-0.9,0
12.0,11.7,4,-10.5,0,16.7,7.5,0
11.22,0.0,1,0.0,0,10.4,-0.1,4
